Season_ID,Edition_Name,Season,Winner,Link
1,"Bangladesh Premier League, 2011/12",2011/12,Dhaka,https://www.espncricinfo.com/series/bangladesh-premier-league-2011-12-547342/match-schedule-fixtures-and-results
2,"Bangladesh Premier League, 2012/13",2012/13,Dhaka,https://www.espncricinfo.com/series/bangladesh-premier-league-2012-13-586487/match-schedule-fixtures-and-results
3,"Bangladesh Premier League, 2015/16",2015/16,Victorians,https://www.espncricinfo.com/series/bangladesh-premier-league-2015-16-921139/match-schedule-fixtures-and-results
4,"Bangladesh Premier League, 2016/17",2016/17,Dynamites,https://www.espncricinfo.com/series/bpl-2016-2016-17-1063043/match-schedule-fixtures-and-results
5,"Bangladesh Premier League, 2017/18",2017/18,Rangpur,https://www.espncricinfo.com/series/bpl-2017-2017-18-1121242/match-schedule-fixtures-and-results
6,"Bangladesh Premier League, 2018/19",2018/19,Victorians,https://www.espncricinfo.com/series/bpl-2018-19-1169376/match-schedule-fixtures-and-results
7,"Bangladesh Premier League, 2019/20",2019/20,Royals,https://www.espncricinfo.com/series/bpl-2020-2019-20-1207676/match-schedule-fixtures-and-results
8,"Bangladesh Premier League, 2021/22",2021/22,Victorians,https://www.espncricinfo.com/series/bangladesh-premier-league-2021-22-1296684/match-schedule-fixtures-and-results
9,"Bangladesh Premier League, 2022/23",2022/23,Victorians,https://www.espncricinfo.com/series/bangladesh-premier-league-2022-23-1346160/match-schedule-fixtures-and-results
10,"Bangladesh Premier League, 2023/24",2023/24,Barishal,https://www.espncricinfo.com/series/bangladesh-premier-league-2023-24-1412272/match-schedule-fixtures-and-results
11,"Bangladesh Premier League, 2024/25",2024/25,Barishal,https://www.espncricinfo.com/series/bangladesh-premier-league-2024-25-1459492/match-schedule-fixtures-and-results
12,"Bangladesh Premier League, 2025/26",2025/26,Rajshahi,https://www.espncricinfo.com/series/bangladesh-premier-league-2025-26-1516530/match-schedule-fixtures-and-results
