season_id,match_id,date,city,venue_id,floodlit,match_title,team1_id,team2_id,team1_captain_id,team2_captain_id,team1_player_ids,team2_player_ids,toss_winner_team_id,toss_decision,team1_score,team1_wickets,team1_overs,team2_score,team2_wickets,team2_overs,match_winner_team_id,result_type,win_margin,player_of_match_id,umpire1_id,umpire2_id,tv_umpire_id,reserve_umpire_id,match_referee_id
1,1,2012-02-10T08:00:00.000Z,Dhaka,236761,day,1st Match,5001,4996,21577,56153,"[41028, 280734, 21577, 56251, 38407, 43265, 56054, 5681, 400588, 300619, 402992]","[259410, 51880, 56138, 269237, 446810, 5674, 5605, 56153, 373696, 43654, 55895]",4996,Bowl,165,4,20,167,0,13.1,4996,Wickets,10,51880,56222,46684,56128,55994,56070
1,2,2012-02-10T12:30:00.000Z,Dhaka,236761,night,2nd Match,4997,5000,56025,56029,"[56194, 55944, 42321, 298438, 56025, 51439, 56167, 25446, 55882, 49636, 56268]","[55414, 55946, 52983, 39836, 56029, 42383, 373538, 400585, 41324, 56160, 280737]",4997,Bat,206,4,20,153,10,19.5,4997,Runs,53,51439,16315,56128,56222,55994,46793
1,3,2012-02-11T08:00:00.000Z,Dhaka,236761,day,3rd Match,4999,4998,56143,56007,"[51469, 45224, 53118, 56143, 281188, 276298, 300618, 56283, 36192, 288305, 56158]","[40563, 56059, 39024, 55988, 20367, 230559, 42272, 56007, 380354, 56017, 55883]",4999,Bat,175,5,20,156,7,20,4999,Runs,19,276298,16315,56128,326122,266340,56070
1,4,2012-02-11T12:30:00.000Z,Dhaka,236761,night,4th Match,4996,5000,56153,56029,"[259410, 51880, 56153, 5674, 446810, 269237, 5605, 56138, 373696, 43654, 55895]","[329845, 55946, 52983, 56029, 39836, 40250, 373538, 55414, 41324, 56160, 280737]",4996,Bat,180,2,20,158,9,20,4996,Runs,22,259410,46684,326122,56128,266340,46793
1,5,2012-02-12T08:00:00.000Z,Dhaka,236761,day,5th Match,4999,4997,56143,56025,"[51469, 45224, 53118, 276298, 56143, 300618, 288305, 56283, 56158, 281188, 36192]","[42321, 55944, 298438, 56025, 51439, 55889, 371814, 56167, 56268, 55882, 49636]",4999,Bat,171,3,20,174,4,19.1,4997,Wickets,6,42321,46684,55878,56128,55994,56070
1,6,2012-02-12T12:30:00.000Z,Dhaka,236761,night,6th Match,5001,4998,21577,56007,"[280734, 41028, 21577, 56251, 402992, 56054, 56053, 5681, 43265, 15840, 56058]","[40563, 39024, 380354, 55988, 20367, 230559, 42272, 56266, 55883, 56007, 56017]",5001,Bat,124,10,19.5,126,3,18.2,4998,Wickets,7,380354,16315,56128,55878,55994,56070
1,7,2012-02-13T08:00:00.000Z,Dhaka,236761,day,7th Match,4996,4999,56153,56143,"[259410, 51880, 5674, 17185, 56153, 269237, 43654, 373696, 56138, 446810, 511532]","[51469, 45224, 53118, 49209, 56143, 276298, 300618, 56158, 56283, 288305, 56149]",4999,Bowl,125,10,20,131,3,17.2,4999,Wickets,7,53118,55878,16315,56128,266340,46793
1,8,2012-02-13T12:30:00.000Z,Dhaka,236761,night,8th Match,4997,4998,56025,56007,"[42321, 55944, 298438, 56025, 55889, 51439, 56167, 371814, 56268, 55882, 49636]","[40563, 39024, 380354, 55988, 20367, 230559, 42272, 56266, 55883, 56007, 56017]",4997,Bat,153,6,20,156,4,19,4998,Wickets,6,230559,46684,56128,55878,266340,46793
1,9,2012-02-14T08:00:00.000Z,Dhaka,236761,day,9th Match,5000,5001,56029,21577,"[329845, 55946, 52983, 56029, 39836, 373538, 42383, 41324, 40250, 56160, 280737]","[41028, 280734, 21577, 56251, 43265, 56054, 56058, 402992, 40088, 56053, 5681]",5000,Bat,171,8,20,155,4,20,5000,Runs,16,52983,46684,55878,56128,260123,56070
1,10,2012-02-14T12:30:00.000Z,Dhaka,236761,night,10th Match,4998,4996,56007,56153,"[40563, 380354, 55988, 39024, 230559, 20367, 56266, 42272, 56017, 55883, 56007]","[259410, 51880, 373696, 5674, 269237, 8476, 56153, 56138, 446810, 43654, 410768]",4996,Bowl,208,5,20,187,5,20,4998,Runs,21,39024,16315,56128,55878,260123,56070
1,11,2012-02-15T08:00:00.000Z,Dhaka,236761,day,11th Match,5001,4997,21577,56025,"[41028, 280734, 21577, 56251, 38407, 402992, 43265, 5681, 373439, 56058, 56054]","[42321, 55944, 298438, 56167, 56025, 371814, 55894, 51439, 56268, 55882, 49636]",5001,Bat,152,4,20,154,3,17.3,4997,Wickets,7,56025,55878,16315,55994,56222,46793
1,12,2012-02-15T12:30:00.000Z,Dhaka,236761,night,12th Match,4999,5000,56143,56029,"[51469, 45224, 49209, 53118, 56143, 300618, 276298, 281188, 56283, 56158, 288305]","[370846, 55946, 52983, 40250, 56029, 39836, 373538, 270135, 41324, 269332, 280737]",4999,Bat,145,7,20,146,4,19.1,5000,Wickets,6,56029,46684,55994,55878,56222,46793
1,13,2012-02-16T08:00:00.000Z,Dhaka,236761,day,13th Match,4996,4997,56153,56025,"[259410, 51880, 269237, 5674, 373696, 410768, 56153, 43654, 8476, 444135, 446810]","[42321, 55944, 371814, 56268, 56025, 298438, 55894, 51439, 56167, 55882, 49636]",4997,Bowl,125,6,20,126,2,12.4,4997,Wickets,8,42321,46684,55878,56128,260123,56070
1,14,2012-02-16T12:30:00.000Z,Dhaka,236761,night,14th Match,5000,4998,56029,55988,"[370846, 55946, 52983, 41046, 56029, 39836, 373538, 269332, 41324, 237502, 280737]","[40563, 380354, 55988, 214695, 230559, 20367, 56266, 42272, 55883, 56056, 56017]",4998,Bowl,144,9,20,130,7,20,5000,Runs,14,52983,16315,56128,55878,260123,56070
1,15,2012-02-18T08:00:00.000Z,Chattogram,56658,day,15th Match,4999,5001,56143,21577,"[51469, 45224, 53118, 49209, 56143, 300618, 281188, 276298, 56158, 56283, 288305]","[41028, 280734, 56251, 38407, 21577, 402992, 43265, 56054, 5681, 56180, 56058]",5001,Bowl,171,6,20,169,8,20,4999,Runs,2,276298,55878,16315,56128,56222,46793
1,16,2012-02-18T12:30:00.000Z,Chattogram,56658,night,16th Match,5000,4997,56029,56025,"[370846, 55946, 41046, 52983, 56029, 39836, 373538, 269332, 41324, 237502, 280737]","[42321, 55944, 298438, 56167, 56025, 56154, 51439, 55894, 371814, 380974, 56268]",5000,Bat,126,6,20,117,9,20,5000,Runs,9,280737,46684,56128,55878,56222,46793
1,17,2012-02-19T08:00:00.000Z,Chattogram,56658,day,17th Match,4998,4999,56007,56143,"[40563, 55988, 39024, 20367, 230559, 380354, 42272, 56007, 56031, 55883, 56017]","[51469, 49209, 53118, 56143, 281188, 24289, 276298, 300618, 56283, 228349, 288305]",4998,Bat,140,8,20,141,3,16.4,4999,Wickets,7,51469,46684,56128,55878,326122,56070
1,18,2012-02-19T12:30:00.000Z,Chattogram,56658,night,18th Match,5001,4996,56251,5674,"[41028, 280734, 218562, 56251, 42433, 402992, 43265, 56054, 5681, 373439, 56058]","[259410, 5674, 17185, 55895, 373696, 56138, 269237, 232489, 446810, 43654, 511532]",5001,Bat,120,7,20,121,1,13.2,4996,Wickets,9,5674,55878,16315,56128,326122,56070
1,19,2012-02-20T08:00:00.000Z,Chattogram,56658,day,19th Match,4996,5000,5674,56029,"[259410, 5674, 17185, 269237, 232489, 373696, 55895, 446810, 511532, 56138, 43654]","[370846, 55946, 52983, 56029, 373538, 280737, 269332, 39836, 41324, 237502, 41046]",4996,Bat,192,3,20,193,1,17.1,5000,Wickets,9,55946,55878,16315,56128,56222,46793
1,20,2012-02-20T12:30:00.000Z,Chattogram,56658,night,20th Match,4999,4997,56143,56025,"[51469, 45224, 53118, 56143, 24289, 300618, 228349, 276298, 281188, 56283, 56209]","[42321, 56194, 298438, 55944, 56025, 51439, 56167, 56268, 371814, 49636, 55882]",4997,Bowl,137,6,20,93,10,18.1,4999,Runs,44,300618,46684,56128,55878,56222,46793
1,21,2012-02-22T08:00:00.000Z,Chattogram,56658,day,21st Match,5001,4998,280734,56007,"[41028, 280734, 43265, 21577, 38407, 56054, 402992, 400588, 5681, 56053, 56058]","[40563, 55988, 39024, 20367, 230559, 56031, 380354, 55883, 56007, 42272, 56017]",4998,Bowl,128,7,20,132,2,12.5,4998,Wickets,8,39024,46684,56128,55878,326122,56070
1,22,2012-02-22T12:30:00.000Z,Chattogram,56658,night,22nd Match,4999,4996,56143,5674,"[51469, 45224, 53118, 56143, 300618, 276298, 24289, 228349, 281188, 56209, 56283]","[259410, 5674, 17185, 269237, 373696, 232489, 55895, 8476, 56138, 511532, 446810]",4999,Bat,161,7,20,162,6,19.3,4996,Wickets,4,373696,55878,16315,56128,326122,46793
1,23,2012-02-24T08:00:00.000Z,Dhaka,236761,day,23rd Match,4997,4998,56025,56007,"[42321, 55944, 298438, 51439, 56025, 56154, 56167, 371814, 56268, 380974, 55882]","[214695, 55988, 39024, 20367, 56031, 230559, 380354, 56208, 42272, 56007, 55883]",4998,Bowl,120,6,20,107,9,20,4997,Runs,13,51439,46684,56060,56222,260123,56070
1,24,2012-02-24T12:30:00.000Z,Dhaka,236761,night,24th Match,5000,5001,56029,56251,"[370846, 55946, 52983, 56029, 41046, 39836, 373538, 269332, 41324, 237502, 280737]","[41028, 21577, 218562, 38407, 402992, 43265, 56053, 56058, 400588, 56251, 373439]",5001,Bowl,124,9,20,125,1,16.3,5001,Wickets,9,43265,56222,16315,56060,260123,56070
1,25,2012-02-25T08:00:00.000Z,Dhaka,236761,day,25th Match,4996,4998,5674,56007,"[5674, 259410, 17185, 269237, 232489, 8476, 373696, 55895, 446810, 56138, 511532]","[40563, 55988, 56266, 39024, 20367, 230559, 380354, 42272, 56056, 56007, 55883]",4998,Bowl,156,6,20,160,5,18.2,4998,Wickets,5,40563,16315,56060,55994,266340,46793
1,26,2012-02-25T12:30:00.000Z,Dhaka,236761,night,26th Match,5001,4997,56251,56025,"[41028, 21577, 218562, 38407, 56251, 402992, 56054, 43265, 56058, 373439, 400588]","[42321, 55944, 298438, 55814, 51439, 56025, 56167, 55894, 371814, 56268, 55882]",4997,Bowl,165,3,20,130,8,20,5001,Runs,35,21577,46684,55994,56060,266340,46793
1,27,2012-02-26T08:00:00.000Z,Dhaka,236761,day,27th Match,4999,5000,56143,56029,"[45224, 49209, 24289, 53118, 56143, 300618, 281188, 36192, 56158, 56283, 288305]","[370846, 55946, 52983, 55414, 39836, 56029, 373538, 41324, 280737, 237502, 401057]",4999,Bat,106,10,18.5,110,2,14.1,5000,Wickets,8,55414,46684,56060,326122,260123,56070
1,28,2012-02-26T12:30:00.000Z,Dhaka,236761,night,28th Match,4997,4996,56025,5674,"[298438, 56167, 55814, 42321, 51439, 56025, 55944, 55894, 371814, 56268, 55882]","[259410, 5674, 17185, 269237, 373696, 55895, 43654, 56138, 446810, 511532, 8476]",4996,Bowl,150,9,20,151,5,15,4996,Wickets,5,5674,326122,16315,56060,260123,56070
1,29,2012-02-27T08:00:00.000Z,Dhaka,236761,day,29th Match,4998,5000,56007,56029,"[40563, 56059, 39024, 20367, 230559, 55988, 380354, 56031, 56007, 42272, 55883]","[370846, 55946, 52983, 55414, 56029, 373538, 361952, 436677, 41324, 401057, 280737]",4998,Bat,116,10,18.2,120,7,19.3,5000,Wickets,3,41324,260123,56060,56222,55994,46793
1,30,2012-02-27T12:30:00.000Z,Dhaka,236761,night,30th Match,4999,5001,56143,56251,"[51469, 45224, 53118, 56143, 49209, 24289, 300618, 281188, 56149, 288305, 56283]","[41028, 21577, 218562, 56251, 38407, 402992, 56054, 43265, 400588, 373439, 56058]",5001,Bowl,186,2,20,117,10,16,4999,Runs,69,,46684,266340,55994,56222,46793
1,31,2012-02-28T08:00:00.000Z,Dhaka,236761,day,1st semi-final,5000,4996,56029,5674,"[370846, 55946, 52983, 55414, 56029, 39836, 373538, 41324, 237502, 401057, 280737]","[259410, 5674, 17185, 446810, 373696, 410768, 56138, 269237, 55895, 43654, 8476]",4996,Bowl,184,6,20,189,2,16,4996,Wickets,8,259410,46684,56128,55878,326122,46793
1,32,2012-02-28T12:30:00.000Z,Dhaka,236761,night,2nd semi-final,4998,4999,56007,56143,"[40563, 278491, 56059, 39024, 55988, 42639, 56007, 56208, 380354, 55883, 42699]","[51469, 45224, 41434, 53118, 56143, 300618, 384518, 281188, 56283, 56149, 56158]",4998,Bat,191,4,20,182,7,20,4998,Runs,9,39024,55878,56060,56128,326122,56070
1,33,2012-02-29T12:00:00.000Z,Dhaka,236761,night,Final,4996,4998,5674,56007,"[259410, 5674, 17185, 269237, 373696, 55895, 43654, 8476, 410768, 56138, 446810]","[40563, 56059, 380354, 39024, 55883, 56007, 55988, 42272, 56208, 42699, 42639]",4998,Bowl,140,7,20,144,2,15.4,4998,Wickets,8,40563,46684,55878,56128,55994,46793
2,34,2013-01-18T08:00:00.000Z,Dhaka,236761,day,1st Match,4998,4999,56007,56153,"[308408, 55988, 380354, 20123, 56143, 49557, 20367, 16851, 436677, 56007, 56017]","[56059, 23508, 56153, 269237, 329845, 55894, 400585, 56209, 380974, 56149, 56058]",4998,Bat,204,4,20,142,8,20,4998,Runs,62,20123,55994,15383,56222,260123,56070
2,35,2013-01-18T12:00:00.000Z,Dhaka,236761,night,2nd Match,5001,4996,56029,56251,"[55608, 303427, 373696, 56029, 25913, 55343, 281188, 444135, 56138, 56056, 386101]","[56251, 17185, 402992, 39024, 373538, 300621, 208237, 8476, 55883, 288305, 446810]",4996,Bowl,175,7,20,142,9,20,5001,Runs,33,303427,56222,16315,55994,260123,46793
2,36,2013-01-19T08:00:00.000Z,Dhaka,236761,day,3rd Match,5000,4997,56194,56025,"[56194, 55944, 8917, 55414, 56167, 55895, 373439, 269332, 509416, 401057, 237502]","[55814, 298438, 10582, 56025, 56031, 56054, 38062, 228349, 56268, 55882, 8076]",5000,Bat,99,9,20,97,10,19.3,5000,Runs,2,55414,16315,260123,266340,401827,46793
