team_id,team_name
5001,Sylhet Royals
4996,Barisal Burners
4997,Chittagong Kings
5000,Duronto Rajshahi
4999,Khulna Royal Bengals
4998,Dhaka Gladiators
5111,Rangpur Riders
5773,Chittagong Vikings
5755,Comilla Victorians
5777,Dhaka Dynamites
5771,Sylhet Super Stars
5775,Barisal Bulls
6080,Khulna Titans
6437,Sylhet Sixers
6708,Cumilla Warriors
6788,Fortune Barishal
7131,Durdanto Dhaka
7223,Durbar Rajshahi
7224,Dhaka Capital
7307,Sylhet Titans
7308,Rajshahi Warriors
7309,Chattogram Royals
7310,Noakhali Express
